session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62ab9e178a6ed6a2da0f5745,613fb2a96effa5ac6adb6328,AWAITING REVIEW,2022-06-16 21:18:15.560000,2022-06-16 21:27:39.787000,564.227,22,45,0,100,,NOCODE,Poland,Poland,Other,Polish,Poland,Female,Yes
62ab9e183d1bb9061dd15840,5c468589dcee1300019bc0fc,RETURNED,2022-06-16 21:29:00.063000,,58082.204321,25,57,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab9e18bf733bf87f0a0902,60a7bbccd9d7527d7db5e395,AWAITING REVIEW,2022-06-16 21:18:16.972000,2022-06-16 21:22:12.694000,235.722,21,103,1,99,,7781F798,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Male,Yes
62ab9e1989d97b899bf59ce5,613e65aa18049c2251345c3f,AWAITING REVIEW,2022-06-16 21:18:17.137000,2022-06-16 21:29:47.874000,690.737,21,52,1,100,,7781F798,Mexico,Mexico,DATA EXPIRED,Spanish,Mexico,Male,DATA EXPIRED
62ab9e19ce7175090041082f,5fae5c806965002dc682f9e0,AWAITING REVIEW,2022-06-16 21:18:17.729000,2022-06-16 21:24:44.061000,386.332,22,108,2,98,,7781F798,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,Yes
62ab9e19e1a4762292fbf1a2,603411dbcf15a5036c87fc2b,AWAITING REVIEW,2022-06-16 21:18:19.974000,2022-06-16 21:22:40.613000,260.639,22,106,3,98,,7781F798,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,Yes
62ab9e1a2a86cef8bfed1bd8,60ebf4e13a9bb59b8eb1d822,AWAITING REVIEW,2022-06-16 21:18:27.942000,2022-06-16 21:27:23.505000,535.563,21,47,0,100,,NOCODE,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
62ab9e1b2c73d73903a08c12,5e6e14f53c76d23b934a67f3,AWAITING REVIEW,2022-06-16 21:18:29.577000,2022-06-16 21:23:45.222000,315.645,21,70,2,99,,7781F798,Brazil,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,Brazil,Female,Yes
62ab9e1b42ce172235256980,5f54cff29062f884abc56f82,AWAITING REVIEW,2022-06-16 21:18:19.853000,2022-06-16 21:25:23.237000,423.384,21,168,0,100,,7781F798,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
62ab9e1dad07da2c4d224c9b,615b5ddab1de3c02771daed5,AWAITING REVIEW,2022-06-16 21:18:49.342000,2022-06-16 21:24:39.516000,350.174,21,50,2,98,,7781F798,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,Yes
62ab9e23619b6e1f42d7d8c7,6130a22afe31ea9b5ece3d78,AWAITING REVIEW,2022-06-16 21:18:38.069000,2022-06-16 21:25:02.145000,384.076,20,53,2,98,,7781F798,South Africa,South Africa,Other,DATA EXPIRED,South Africa,Male,Yes
62ab9e23f16694d9b5d3227f,60e431d661bec8557f292aa6,REJECTED,2022-06-16 21:18:27.639000,2022-06-16 21:25:51.869000,444.23,22,62,2,99,2022-06-16 22:21:12.531000,39F54BF2,Nigeria,South Africa,DATA EXPIRED,DATA EXPIRED,Nigeria,Male,Yes
62ab9e2a59599a63a83c0dfa,6166e6308c20d5b2777a0634,AWAITING REVIEW,2022-06-16 21:18:33.997000,2022-06-16 21:25:25.511000,411.514,33,98,0,100,,7781F798,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Female,DATA EXPIRED
62ab9e2c3adabb2b7db78a14,5fd654bbc9a0b65438e1d06f,AWAITING REVIEW,2022-06-16 21:18:36.727000,2022-06-16 21:21:36.998000,180.271,31,191,4,97,,7781F798,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
62ab9e2d50d95c04e12ddf49,604bcad5a550c3e1bb11b39b,REJECTED,2022-06-16 21:18:37.480000,2022-06-16 21:35:34.867000,1017.387,22,163,2,99,2022-06-16 22:01:27.392000,7781F798,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,Yes
62ab9e2d9f3a3cd474019739,6036e0cfe413e512bdefeada,AWAITING REVIEW,2022-06-16 21:18:37.109000,2022-06-16 21:25:02.472000,385.363,33,144,1,100,,7781F798,Greece,Greece,Part-Time,Greek,Greece,Male,No
