session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Record Video,Sex,Student Status,Webcam
62a9e5dda04b02a849a7f5a6,5fd663b8b06c1b570569dc2b,AWAITING REVIEW,2022-06-15 13:59:57.788000,2022-06-15 14:06:29.110000,391.322,20,244,2,100,,39F54BF2,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Yes,Male,Yes,Yes
62a9e63193ac2f7dd4f08ee9,60be61231b34e6b2bf1e76ab,RETURNED,2022-06-15 14:11:21.993000,,62093.135711,47,441,8,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e632063e84991e7dc626,5f89c0d2f782e5000aa85a1a,AWAITING REVIEW,2022-06-15 14:01:22.837000,2022-06-15 14:11:55.545000,632.708,21,207,2,100,,39F54BF2,Italy,Italy,Other,Italian,Italy,Yes,Female,Yes,Yes
62a9e65f57dab45547331608,60f9baa99f49184f083a9ce8,AWAITING REVIEW,2022-06-15 14:02:22.445000,2022-06-15 14:15:33.726000,791.281,33,293,0,100,,39F54BF2,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Yes,Male,No,Yes
62a9e670685c421427efc72c,6156a33f998bef6213415ce4,RETURNED,2022-06-15 14:02:31.509000,,62623.657363,30,112,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e6b5923e1084b8b1b815,5cd74735c78b7d0001f9b364,RETURNED,2022-06-15 14:03:33.296000,,62561.882887,30,660,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e6f2275abf7110e20ddc,5e823b35726b2a9508db127c,RETURNED,2022-06-15 14:04:36.866000,,62498.325035,24,274,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9e723a558c5e44ead67e6,6004773518dc462500aff1ae,AWAITING REVIEW,2022-06-15 14:05:25.349000,2022-06-15 14:27:58.457000,1353.108,,379,0,100,,39F54BF2,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Yes,DATA EXPIRED,DATA EXPIRED,Yes
62a9e9962e84e99d7abbbac1,5974ce5364b35a00019dd811,RETURNED,2022-06-15 14:25:50.780000,,61224.445967,23,542,4,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ea15b7ce5a89eecdc026,613c26f7960541b930b654d7,RETURNED,2022-06-15 14:20:14.786000,,61560.451777,25,133,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ea77b19ed7af9aba29bf,616af671eb2b0b1ca4947cff,AWAITING REVIEW,2022-06-15 14:19:39.662000,2022-06-15 14:37:30.445000,1070.783,45,253,2,100,,39F54BF2,Portugal,Portugal,Full-Time,Portuguese,Portugal,Yes,Male,No,Yes
62a9ea81340edcf3a7e67681,60d63e407fce934334a5e025,AWAITING REVIEW,2022-06-15 14:19:50.291000,2022-06-15 14:48:31.117000,1720.826,34,547,4,99,,39F54BF2,United States,United Kingdom,DATA EXPIRED,English,United States,Yes,Male,DATA EXPIRED,Yes
62a9eac20b6939f3e624069e,60327d95fb5e6823d96d15a0,RETURNED,2022-06-15 14:23:19.446000,,61375.82879,34,190,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9eafa88ffed7d120eef15,55057a56fdf99b5b566a70bb,RETURNED,2022-06-15 14:31:46.962000,,60868.32531,29,1811,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9eb195b07f20154ec8703,617406fbfced12169896d158,RETURNED,2022-06-15 14:32:17.774000,,60837.525181,57,413,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9eb26dcd7b0fa86a02fb5,611deba293f2155768efa363,RETURNED,2022-06-15 14:22:41.835000,,61413.475962,30,63,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9eb344ef950af54095e4d,603d0e0e5b0386b034e93bf5,AWAITING REVIEW,2022-06-15 14:27:48.512000,2022-06-15 14:45:51.797000,1083.285,25,247,0,100,,39F54BF2,Italy,Italy,Other,Italian,Italy,Yes,Female,Yes,Yes
