session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62ab1ee7a36e60aa96c524b2,613c96251354a2ab1529c6f6,AWAITING REVIEW,2022-06-16 12:15:40.517000,2022-06-16 12:21:28.447000,347.93,19,69,1,100,,78AD9052,Hungary,Hungary,"Not in paid work (e.g. homemaker', 'retired or disabled)",Hungarian,Hungary,Female,Yes
62ab1ee8363f1139dbf8bf44,603e7ee88abbb9f1e5804ce7,AWAITING REVIEW,2022-06-16 12:15:36.170000,2022-06-16 12:25:33.463000,597.293,25,44,1,100,,39F54BF2,Poland,Poland,Other,Polish,Poland,Male,Yes
62ab1ee97b30464bb93c145e,5e81fd2e6f674202efe1ccb9,AWAITING REVIEW,2022-06-16 12:15:46.062000,2022-06-16 12:22:35.870000,409.808,34,149,1,100,,78AD9052,Italy,Italy,Full-Time,Italian,Italy,Female,Yes
62ab1eed0266dcd5a3ab1639,5ef756bd60ee3e03dea31025,AWAITING REVIEW,2022-06-16 12:16:03.197000,2022-06-16 12:20:08.020000,244.823,34,313,1,100,,78AD9052,Canada,Canada,Full-Time,English,Canada,Male,Yes
62ab1eeee82e2c84e61ae48f,617668ba30fe0e01aea3f928,REJECTED,2022-06-16 12:16:26.287000,2022-06-16 12:27:04.574000,638.287,20,86,2,98,2022-06-16 14:18:38.819000,39F54BF2,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Male,Yes
62ab1ef0d31b663a87f50417,60f2be10f84eb35558463468,RETURNED,2022-06-16 12:26:00.039000,,24348.84125,20,40,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab1ef0e436040c8f1fd691,5d7374ab99bf5b0018864719,AWAITING REVIEW,2022-06-16 12:15:44.411000,2022-06-16 12:21:27.251000,342.84,22,153,1,100,,78AD9052,Greece,Greece,DATA EXPIRED,Greek,Greece,Female,DATA EXPIRED
62ab1ef10fe8bdb32880ff32,5e209e63f814783b253a93ed,AWAITING REVIEW,2022-06-16 12:15:49.117000,2022-06-16 12:20:01.465000,252.348,25,409,2,100,,39F54BF2,Italy,Italy,Full-Time,Italian,Italy,Female,Yes
62ab1ef27f5741bba9c17bc8,604f52495c65b08a23602650,AWAITING REVIEW,2022-06-16 12:15:46.215000,2022-06-16 12:19:43.095000,236.88,21,95,0,100,,78AD9052,Italy,Italy,Unemployed (and job seeking),Italian,Italy,Female,Yes
62ab1ef4da007b7d8295249e,5e24b3d0b0285772c5dc3123,AWAITING REVIEW,2022-06-16 12:16:08.661000,2022-06-16 12:20:09.976000,241.315,23,27,0,100,,78AD9052,Czech Republic,Czech Republic,Full-Time,Czech,Czech Republic,Male,No
